id,author,year,country,intervention,title,instrument,sample.stroke.baseline,sample.healthy.baseline,patient.type,group.id,age,age.sd,male,female,m.f,m.f.1,isch,hem,tia,lacunar,sah,other.or.undetermined,prev.stroke,instrument.subtest,instrument.detail,domain,day1i,n1i,m1i,sd1i,day2i,n2i,m2i,sd2i,Ni,design,quality,score,q1,q2,q3,q4,q5,q6,q7,q8,q9,q10,q11,q12,q13,q14,diff.days,stage,age.group,interv.type,exposure,exp.of.int,all.domains,all.prev.stroke,yi,vi,group.id.orig
2,Akinwuntan et al.,2005,Belgium,yes,Effect of simulator training on driving after stroke: a randomized controlled trial,ufov,73,NA,first-ever (isch or hem),driving simul - 2,54,12,0.757,0.243,37,37,0.73,10,NA,NA,NA,NA,NA,total,ufov,visuo-perceptual,53,37,-21.48,24.36,278,37,-15.14,15.55,73,RCT,fair,14-Oct,yes,yes,yes,cd,yes,no,yes,yes,cd,cd,yes,yes,yes,yes,225,181-729 days,<65,non-convent. interv.,NA,non-convent. interv.,visuo-perceptual | hlcf,0,0.307000892,0.054724844,driving simul
2,Akinwuntan et al.,2005,Belgium,yes,Effect of simulator training on driving after stroke: a randomized controlled trial,sdsa,73,NA,first-ever (isch or hem),driving simul - 2,54,12,0.757,0.243,37,37,0.73,10,NA,NA,NA,NA,NA,dct [time],sdsa-dct [time],hlcf,53,37,-546.65,222.13,278,37,-516.05,213.75,73,NA,fair,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,225,181-729 days,<65,non-convent. interv.,NA,non-convent. interv.,visuo-perceptual | hlcf,0,0.138911437,0.05419139,driving simul
2,Akinwuntan et al.,2005,Belgium,yes,Effect of simulator training on driving after stroke: a randomized controlled trial,sdsa,73,NA,first-ever (isch or hem),driving simul - 2,54,12,0.757,0.243,37,37,0.73,10,NA,NA,NA,NA,NA,dct [error],sdsa-dct [error],hlcf,53,37,-32.47,41,278,37,-16.05,28.48,73,NA,fair,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,225,181-729 days,<65,non-convent. interv.,NA,non-convent. interv.,visuo-perceptual | hlcf,0,0.460297146,0.055561993,driving simul
2,Akinwuntan et al.,2005,Belgium,yes,Effect of simulator training on driving after stroke: a randomized controlled trial,sdsa,73,NA,first-ever (isch or hem),driving simul - 2,54,12,0.757,0.243,37,37,0.73,10,NA,NA,NA,NA,NA,sm [direction],sdsa-sm [direction],hlcf,53,37,23.69,10.53,278,37,27.08,8.38,73,NA,fair,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,225,181-729 days,<65,non-convent. interv.,NA,non-convent. interv.,visuo-perceptual | hlcf,0,0.35251929,0.054938503,driving simul
2,Akinwuntan et al.,2005,Belgium,yes,Effect of simulator training on driving after stroke: a randomized controlled trial,sdsa,73,NA,first-ever (isch or hem),driving simul - 2,54,12,0.757,0.243,37,37,0.73,10,NA,NA,NA,NA,NA,sm [compass],sdsa-sm [compass],hlcf,53,37,14.75,10.02,278,37,19.62,9.9,73,NA,fair,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,225,181-729 days,<65,non-convent. interv.,NA,non-convent. interv.,visuo-perceptual | hlcf,0,0.48383303,0.055720143,driving simul
2,Akinwuntan et al.,2005,Belgium,yes,Effect of simulator training on driving after stroke: a randomized controlled trial,sdsa,73,NA,first-ever (isch or hem),driving simul - 2,54,12,0.757,0.243,37,37,0.73,10,NA,NA,NA,NA,NA,rsrt,sdsa-rsrt,hlcf,53,37,4.61,3.17,278,37,6.89,2.89,73,NA,fair,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,225,181-729 days,<65,non-convent. interv.,NA,non-convent. interv.,visuo-perceptual | hlcf,0,0.743811524,0.057991666,driving simul
2,Akinwuntan et al.,2005,Belgium,yes,Effect of simulator training on driving after stroke: a randomized controlled trial,ufov,73,NA,first-ever (isch or hem),driving task - 2,54,11,0.861,0.139,36,36,0.806,7,NA,NA,NA,NA,NA,total,ufov,visuo-perceptual,54,36,-27.92,25.27,279,36,-18.82,20.83,73,NA,fair,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,225,181-729 days,<65,non-convent. interv.,NA,non-convent. interv.,visuo-perceptual | hlcf,0,0.388747424,0.05666265,driving task
2,Akinwuntan et al.,2005,Belgium,yes,Effect of simulator training on driving after stroke: a randomized controlled trial,sdsa,73,NA,first-ever (isch or hem),driving task - 2,54,11,0.861,0.139,36,36,0.806,7,NA,NA,NA,NA,NA,dct [time],sdsa-dct [time],hlcf,54,36,-596.6,214.07,279,36,-568.26,190.54,73,NA,fair,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,225,181-729 days,<65,non-convent. interv.,NA,non-convent. interv.,visuo-perceptual | hlcf,0,0.138344574,0.055695764,driving task
2,Akinwuntan et al.,2005,Belgium,yes,Effect of simulator training on driving after stroke: a randomized controlled trial,sdsa,73,NA,first-ever (isch or hem),driving task - 2,54,11,0.861,0.139,36,36,0.806,7,NA,NA,NA,NA,NA,dct [error],sdsa-dct [error],hlcf,54,36,-26.83,31,279,36,-16.43,30.17,73,NA,fair,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,225,181-729 days,<65,non-convent. interv.,NA,non-convent. interv.,visuo-perceptual | hlcf,0,0.336346512,0.056384306,driving task
2,Akinwuntan et al.,2005,Belgium,yes,Effect of simulator training on driving after stroke: a randomized controlled trial,sdsa,73,NA,first-ever (isch or hem),driving task - 2,54,11,0.861,0.139,36,36,0.806,7,NA,NA,NA,NA,NA,sm [direction],sdsa-sm [direction],hlcf,54,36,21.11,11.9,279,36,24.51,10.48,73,NA,fair,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,225,181-729 days,<65,non-convent. interv.,NA,non-convent. interv.,visuo-perceptual | hlcf,0,0.299970423,0.05621474,driving task
